umur,jenis_kelamin,pekerjaan,gaji,is_menikah,berat,tinggi,is_merokok,pendidikan,ever_stress
36,Perempuan,Pegawai swasta,6183770.527,1,55.81465191,184.6290169,0,S1,1
30,Laki-laki,PNS,6689356.383,1,53.21102971,166.7801261,1,S1,1
29,Perempuan,PNS,14739867.15,1,50.53475459,159.7875214,0,SMA,1
50,Laki-laki,PNS,5278767.602,1,57.1043255,184.4246027,0,SD,0
23,Laki-laki,Pegawai swasta,10422218.61,1,57.17515935,174.7920297,0,S1,1
49,Laki-laki,Pegawai swasta,6170297.674,1,55.90394695,153.6527499,0,S1,1
33,Perempuan,PNS,8736950.831,1,56.99432793,163.1299705,1,SMA,0
50,Laki-laki,PNS,10301718.19,1,63.60080389,154.9205305,0,S1,1
44,Laki-laki,,12355387.53,1,59.08506284,162.145496,0,S1,0
43,Laki-laki,PNS,12495788.61,1,72.76233675,178.3024007,1,SMA,1
35,Perempuan,PNS,5307282.987,1,56.99229109,177.5615084,1,S1,1
22,Perempuan,Pegawai swasta,7673774.603,1,46.24307528,170.4377689,0,S1,1
37,Laki-laki,PNS,10681392.21,1,47.66362908,159.3793863,0,SMA,0
58,Laki-laki,Pegawai swasta,14729246.35,1,43.35222495,175.608279,1,S1,1
51,Laki-laki,PNS,6497805.298,1,55.73565008,182.090916,0,SMA,0
44,Laki-laki,Freelance,11199666.88,1,47.61938333,175.8489094,0,S1,1
50,Perempuan,PNS,7955562.003,1,51.38660315,155.7183809,1,SMP,1
18,Laki-laki,Pegawai swasta,17677784.97,0,45.79120267,163.2016347,0,SMA,1
26,Laki-laki,Pegawai swasta,4019832.868,1,59.42345741,174.0653643,1,S1,1
36,Perempuan,Pegawai swasta,6081970.553,1,51.72299445,177.0805696,0,S1,0
33,Laki-laki,PNS,6995538.485,1,44.72973931,154.3161041,0,S1,1
37,Laki-laki,Pegawai swasta,3634632.663,1,59.81120376,153.1518818,1,SMP,0
33,Laki-laki,Freelance,5033800.467,1,69.08443337,176.2469476,0,SMP,1
40,Laki-laki,Pegawai swasta,12094094.64,,50.34850832,167.5632793,1,S1,1
17,Laki-laki,PNS,8443740.122,0,45.47351392,155.9006301,,S2,1
37,Laki-laki,Pengangguran,7094839.898,1,63.30714813,167.2286561,1,S2,1
52,Perempuan,PNS,6818362.051,1,,161.6270195,1,SMA,0
36,Perempuan,PNS,8952999.651,1,48.40284237,170.013961,0,S1,1
21,Laki-laki,Pengangguran,7225247.032,1,53.54291995,171.4745128,0,S1,1
32,Perempuan,PNS,5860159.692,1,42.41951799,170.8089602,0,S3,1
49,Perempuan,,8705630.284,1,57.53346278,165.6788446,1,SMA,0
37,Laki-laki,Freelance,5564324.499,1,52.01587691,163.7157397,0,SMA,1
23,,Pegawai swasta,11859647.06,1,51.94858449,164.3369627,0,S1,1
41,Perempuan,Pegawai swasta,5372436.283,1,59.83635375,177.0092274,1,SMA,1
49,Laki-laki,PNS,7185928.059,1,52.03892102,149.1239296,0,S1,1
36,Laki-laki,Pegawai swasta,6802122.788,1,46.7725931,142.3268562,0,S1,1
40,Laki-laki,Pegawai swasta,8867420.583,1,45.11287381,178.9835222,0,SMA,1
40,Laki-laki,Pegawai swasta,14903700.53,1,52.07969603,167.2431041,1,SMA,1
37,Laki-laki,Freelance,3539458.009,1,41.61252272,159.4562478,,S2,1
53,Laki-laki,Pegawai swasta,14960349.54,1,56.71364445,168.7179478,0,S1,0
56,Perempuan,Pegawai swasta,8160158.876,1,46.88337869,165.6258155,1,SMA,1
40,Laki-laki,PNS,8116296.528,1,58.41455676,159.7845845,1,SMA,1
33,Laki-laki,Pegawai swasta,9144706.591,1,50.52491859,166.245238,1,S1,1
39,Laki-laki,PNS,4426912.344,1,70.05648653,155.8912106,1,SD,1
31,Perempuan,Pegawai swasta,3058592.632,1,44.44772446,168.0651666,0,S1,1
55,Laki-laki,PNS,6151818.718,1,,161.4011899,0,S2,0
42,Laki-laki,Pegawai swasta,7352546.672,1,48.6933253,146.6512155,0,S1,0
46,Laki-laki,Pegawai swasta,3497381.368,1,51.21548304,181.3856374,1,,1
38,Laki-laki,PNS,7487492.584,1,52.99108876,165.1279065,0,SMA,0
32,Laki-laki,PNS,9499471.401,1,49.52404369,156.9287425,0,S1,0
51,Laki-laki,Pegawai swasta,8517313.354,1,62.12834958,153.2082725,1,SMA,0
50,Laki-laki,,6070670.328,1,58.27062274,160.4411849,1,S1,1
40,Laki-laki,PNS,5352380.536,1,58.78393172,167.6288481,1,SMP,1
25,Perempuan,Pegawai swasta,6431255.465,1,84.55628607,175.8815051,0,SMA,1
17,Laki-laki,PNS,9300775.303,0,44.84201176,157.3663937,1,S1,1
23,Laki-laki,PNS,8771300.977,1,62.5730339,182.3028654,0,S1,1
44,Perempuan,Pegawai swasta,12937849.16,1,58.54503694,158.3433643,1,SMA,0
36,Laki-laki,PNS,9205296.521,1,52.03171688,159.57777,1,S1,1
33,Laki-laki,Pegawai swasta,9796290.9,1,88.61751757,192.3477427,0,S2,1
25,Laki-laki,Pegawai swasta,8330980.63,1,56.07875724,159.3192011,0,S1,0
30,Perempuan,Pegawai swasta,7630873.97,1,67.87734017,169.9469115,0,S1,1
54,Perempuan,Freelance,5462124.302,1,93.50138922,201.179875,1,S1,1
32,Laki-laki,PNS,16744332.83,1,47.64328047,182.0584636,1,S1,0
54,Laki-laki,PNS,7741196.055,1,48.12265384,172.0048607,1,SMA,0
49,Laki-laki,Pegawai swasta,11943290.49,1,50.23895449,156.6986058,1,SMP,1
41,Perempuan,PNS,5294692.633,1,63.96486528,167.2654051,0,S1,1
53,Laki-laki,Pegawai swasta,13708099.9,1,56.63099791,170.3409485,0,S1,0
39,Laki-laki,PNS,6381812.729,1,51.43078985,165.35199,0,S1,0
30,Laki-laki,Pegawai swasta,8900588.94,1,50.90530877,182.3647315,1,S1,1
43,,Pegawai swasta,5935849.441,1,64.86022137,179.5509063,1,SMA,1
40,Laki-laki,Freelance,6119382.582,1,78.02565726,175.6339084,1,S1,1
11,Perempuan,PNS,6188549.084,0,54.22059833,168.8010258,0,SMA,1
35,Perempuan,Pegawai swasta,7251102.761,1,75.56713568,194.4477732,1,SMA,1
37,Perempuan,Pegawai swasta,3137546.926,1,46.09751903,157.0517181,0,S1,1
38,Laki-laki,PNS,7614162.111,1,47.56720098,161.6056623,0,S1,1
42,Perempuan,Pegawai swasta,8253269.434,1,48.70207132,175.5822996,1,S1,1
37,Laki-laki,Pegawai swasta,7430916.01,1,50.80992789,153.5792585,0,S1,1
52,Laki-laki,Pegawai swasta,6260747.972,1,69.93837992,172.6379522,1,SMP,1
31,Laki-laki,Pengangguran,16559451.18,1,68.64474264,160.5897653,1,SMP,1
47,Laki-laki,Pegawai swasta,5509538.166,1,48.99592971,156.809744,0,S2,1
46,Laki-laki,Pegawai swasta,3766660.842,1,52.36700177,165.5345789,0,S1,0
35,Perempuan,PNS,13178574.28,1,48.63284319,186.4952364,0,SMA,1
55,Perempuan,Pegawai swasta,6626580.652,1,57.50308904,178.6295408,1,S1,1
56,Laki-laki,Freelance,4845642.557,1,67.02207827,169.4884244,1,SMA,0
34,Laki-laki,Pegawai swasta,6155233.808,1,45.71625545,153.2317515,0,S1,0
45,Laki-laki,Freelance,10171340.57,1,55.36255803,182.7135899,0,SMP,1
35,Perempuan,PNS,8524418.05,1,61.55143807,167.2868261,0,S2,1
48,Laki-laki,PNS,8326773.754,1,48.16093725,166.3544705,1,SMA,0
55,Perempuan,PNS,6426787.544,1,,162.1601189,0,SMA,1
28,Laki-laki,,4857236.426,1,54.47927684,164.7385542,0,SMA,0
48,Perempuan,Pegawai swasta,5888164.363,1,49.50687013,159.1672038,1,S3,0
27,Laki-laki,PNS,9137886.368,1,69.74412472,177.0139559,0,S1,1
61,Laki-laki,Freelance,10145591.45,1,50.15939783,152.6794188,0,SD,1
50,Perempuan,,15403426.82,1,67.76696434,167.9413813,0,SMA,1
57,Laki-laki,PNS,16118208.37,1,55.68225162,173.9063037,0,,1
31,Laki-laki,Pegawai swasta,6189960.802,1,57.56997453,170.0688934,0,S1,0
39,Laki-laki,Pegawai swasta,9853433.764,1,69.59384198,174.1759075,0,SMA,1
47,Laki-laki,PNS,13147727.81,1,55.09244231,173.6927354,0,S2,0
52,Laki-laki,PNS,,1,59.22622802,166.9329552,0,S1,0
28,Laki-laki,Freelance,5423055.411,1,57.42286498,159.9581901,0,S1,0
45,Laki-laki,PNS,6133341.906,1,50.61332093,171.9972801,1,S1,1
60,Laki-laki,,,1,59.39227176,169.953468,1,S2,0
38,,Freelance,6478118.394,1,48.65591618,180.5649284,1,S1,1
34,Laki-laki,PNS,12454429.46,1,66.94599725,179.334197,1,S1,0
29,Laki-laki,Pegawai swasta,11677104.65,1,61.8305822,178.4578924,0,S1,1
41,Laki-laki,PNS,11860225.43,1,67.51883914,174.6388896,0,S1,1
38,Laki-laki,Freelance,6977251.992,1,54.68940646,155.6874287,1,S1,1
47,Perempuan,Freelance,7584566.181,1,65.46069652,166.387337,1,S1,1
42,Perempuan,Freelance,4870183,1,53.84427351,190.0067546,0,S2,1
45,Laki-laki,PNS,8418290.677,1,48.14236021,183.0812521,1,S1,1
26,Laki-laki,Pegawai swasta,4253788.647,1,59.97104719,153.4276288,1,SMA,1
40,Laki-laki,Pegawai swasta,12212589.76,1,59.99859868,169.1628178,0,S1,1
19,Laki-laki,Freelance,7145355.259,0,48.57292181,166.8380561,0,SD,1
41,Perempuan,PNS,16261383.93,1,47.56316089,175.3591864,0,SMA,1
50,Perempuan,PNS,8870616.713,1,49.16839178,163.2468409,0,S1,0
44,Laki-laki,PNS,4789839.005,1,55.96011354,172.9021998,0,S1,1
35,Laki-laki,Pegawai swasta,7933884.957,1,51.37753924,160.3436131,1,S1,1
28,Laki-laki,Freelance,23709625.99,1,71.82570483,173.0931317,0,SMA,1
53,Perempuan,Freelance,7776172.101,1,92.89721109,192.7242612,1,S1,1
39,Laki-laki,PNS,3863152.323,1,61.57441805,170.3805016,1,S2,0
32,Laki-laki,Pegawai swasta,6024409.248,1,44.43243839,154.5788592,0,SMA,1
51,Perempuan,Pegawai swasta,14238747.68,1,69.01437622,167.2390821,1,S1,1
48,Laki-laki,Pegawai swasta,10449717.88,1,64.00330037,182.2974914,0,S1,0
42,Perempuan,PNS,7197661.461,1,56.5217417,163.1106838,1,S1,1
,Perempuan,Pegawai swasta,5921816.265,1,50.20837421,165.3388936,0,,0
35,Perempuan,PNS,13554525.92,1,46.36303367,,0,S1,1
58,Laki-laki,PNS,6765870.088,1,49.08096626,150.0699748,0,SMA,0
37,Laki-laki,Pegawai swasta,9027857.576,1,44.00159123,161.9658732,0,S2,1
39,Laki-laki,PNS,8051073.75,1,53.47892457,156.720604,1,S1,0
36,Laki-laki,PNS,8786988.096,1,52.1091737,156.7435409,1,S1,1
37,Laki-laki,PNS,13189329.43,1,49.73165628,166.674651,1,SMA,0
28,Laki-laki,Pegawai swasta,7584378.252,1,67.42199243,154.0016551,0,SMP,1
39,Laki-laki,Pegawai swasta,4120172.325,1,75.05104251,185.6696621,0,S1,1
30,Perempuan,PNS,9691513.766,1,,162.5246993,1,S3,1
40,Perempuan,Pegawai swasta,9116658.198,1,53.68694198,184.518082,1,S1,1
-1,Laki-laki,Pegawai swasta,8428640.434,1,51.62535233,172.5344559,1,S1,1
34,Laki-laki,Pegawai swasta,8404229.182,1,53.47412638,175.5392748,0,SMA,1
35,Laki-laki,Pegawai swasta,15006094.25,1,44.17138569,150.8607562,1,S1,1
49,Perempuan,PNS,4732684.593,1,49.8391041,167.3612316,0,SMA,1
42,Laki-laki,Pegawai swasta,14279172.34,1,50.13003247,174.3728611,0,S1,1
38,Laki-laki,PNS,26517176.12,1,41.92654778,175.7076252,0,SMP,1
47,Laki-laki,,7381589.394,1,62.12662251,184.8380941,1,SMA,1
48,Laki-laki,Pengangguran,15454451.69,1,74.52313687,186.8806431,0,S1,1
42,Laki-laki,PNS,7557606.003,1,51.15312661,177.3589997,0,SMP,1
47,,PNS,11444462.88,1,45.42697075,182.495388,1,SMA,1
38,Laki-laki,PNS,6426999.433,1,54.33606426,168.7022719,1,S1,0
39,Laki-laki,PNS,16773549.49,1,51.83940535,153.8678119,0,S1,1
42,Laki-laki,PNS,8859341.669,1,54.18493594,178.1146073,1,S1,0
41,Perempuan,Freelance,6603973.653,1,56.00364123,158.1240531,0,SMA,1
47,Perempuan,Pegawai swasta,16445022.45,1,51.57256276,161.4967776,0,S1,1
24,Laki-laki,Pegawai swasta,5351220.849,1,73.6459919,179.7721083,1,SMA,1
34,Laki-laki,Freelance,9100960.955,1,54.49874631,157.3225726,0,S1,1
41,Laki-laki,Pegawai swasta,9771083.224,1,52.55872695,154.6080709,1,S1,1
41,Laki-laki,Pegawai swasta,6177991.173,1,53.6581684,149.510959,1,SMA,1
44,Laki-laki,Pegawai swasta,6740615.454,1,57.5192622,,0,S1,1
31,Laki-laki,PNS,4584518.423,1,54.09815524,171.2579274,1,SMA,1
39,Laki-laki,Freelance,14036554.25,1,69.35725639,172.837603,1,S1,1
-1,Laki-laki,Pengangguran,8936971.935,1,54.81726412,176.9690249,1,SMP,1
40,Laki-laki,Pegawai swasta,10872486.5,1,60.95318989,159.9554156,0,S1,1
53,Laki-laki,PNS,11911848.37,1,50.7604276,150.3709314,0,S1,1
48,Laki-laki,PNS,3488096.881,1,59.56280381,184.2409145,0,S1,1
34,Laki-laki,Pegawai swasta,10824755.33,1,61.84245287,164.4336123,1,S2,1
49,Laki-laki,PNS,9696755.609,1,48.93159743,188.6096868,1,SD,0
31,Perempuan,Pengangguran,11120495.59,1,62.76569931,158.617101,0,S1,1
30,Laki-laki,Pegawai swasta,15441363.48,1,63.08528842,160.1171053,0,S1,1
22,Perempuan,Pegawai swasta,15531664.07,1,46.68370095,166.9044023,0,S1,0
41,Perempuan,Pegawai swasta,5206776.242,1,59.03566796,156.0868158,0,S1,1
46,Laki-laki,PNS,14283311.27,1,58.77202647,170.1095212,1,S1,0
24,Perempuan,Pegawai swasta,8511488.93,1,65.22282385,169.8755251,1,S1,0
35,Laki-laki,Pegawai swasta,5118104.867,1,62.37159846,188.0575539,1,SMP,1
40,Perempuan,Pegawai swasta,6772421.581,1,55.46995283,143.7156976,1,S1,1
43,Laki-laki,PNS,7264257.94,1,66.75513558,192.8453943,1,S1,1
33,Laki-laki,Pegawai swasta,10125265.8,1,66.11541494,174.0372875,0,S1,1
47,Laki-laki,Pegawai swasta,7533860.294,1,55.61506146,164.4530549,0,SMA,1
40,Laki-laki,Freelance,8408940.488,1,49.25756339,173.5437561,0,,1
38,Laki-laki,PNS,7782355.791,1,55.03634958,162.5658894,1,SMA,0
45,Laki-laki,,8028272.212,1,51.24558384,169.3486033,1,S1,1
40,Laki-laki,Pegawai swasta,7115947.367,1,56.55612982,179.7825571,0,SMP,0
28,Laki-laki,PNS,7753852.926,1,43.9579523,145.1834382,0,S1,1
34,Laki-laki,Pegawai swasta,6612344.022,1,67.11964408,165.9826818,0,,1
35,Laki-laki,Freelance,4538042.262,1,59.94620626,156.8463042,1,S2,1
41,Laki-laki,PNS,8514817.18,1,49.63669472,158.8742991,0,SMA,0
36,Laki-laki,PNS,5932165.989,1,45.60350293,162.9094829,0,S1,1
61,Laki-laki,PNS,7126739.306,1,46.01362932,156.3792377,1,S1,1
27,Perempuan,Pegawai swasta,9147744.289,1,45.52264151,161.6654923,1,S1,0
22,Perempuan,Pegawai swasta,10937139.12,1,58.71666433,177.068217,0,S1,1
22,Laki-laki,Freelance,5795823.254,1,48.26429418,155.3921153,1,SMA,1
33,Perempuan,Freelance,12508996.67,1,86.41775727,188.3456378,0,SMA,1
67,Laki-laki,Freelance,5041929.611,1,47.24232459,168.9826376,0,SMP,0
40,Perempuan,PNS,6001280.391,1,56.97841342,155.5475761,1,S1,1
30,Perempuan,PNS,6368910.529,1,64.48111187,187.2312661,1,SMA,1
36,Laki-laki,PNS,9059392.937,1,67.23571207,173.8896797,1,SMA,0
35,Laki-laki,PNS,3849106.068,1,51.91374619,163.9168636,0,S1,1
43,Laki-laki,Freelance,5994325.298,1,51.59552869,179.9420119,0,S1,1
37,Laki-laki,PNS,15312920.84,1,48.42408493,148.1397459,0,SMA,1
46,Perempuan,Pegawai swasta,9958787.192,1,50.12125791,175.663625,1,S1,1
55,Laki-laki,Pegawai swasta,9198852.131,1,52.58997825,157.8558636,0,SMA,0
32,Laki-laki,PNS,8712681.137,1,51.43929516,169.4730182,0,S1,1
40,Laki-laki,PNS,5358217.445,1,66.5528733,168.2950242,0,S1,1
54,Laki-laki,Pegawai swasta,6725099.716,1,72.3062977,172.3998705,0,S2,1
28,Perempuan,PNS,13099583.61,1,52.40861862,157.1766164,0,SD,1
30,Laki-laki,PNS,12911543.51,1,68.27780143,171.9001981,1,S2,0
46,Laki-laki,PNS,6403922.453,1,53.55134275,141.2170964,1,SMA,0
46,Laki-laki,Pegawai swasta,11802196.78,1,56.73271359,171.0978033,0,S1,1
51,Laki-laki,PNS,16895546.28,1,56.77245591,154.2637087,1,SMP,0
54,Laki-laki,Pegawai swasta,8160534.388,1,,153.4825029,1,S2,1
41,Perempuan,PNS,9633253.697,1,53.20265291,160.8609111,0,S1,0
40,Laki-laki,Freelance,12642207.57,1,57.75029794,164.4221641,0,SMA,1
68,Laki-laki,PNS,21294016.03,1,46.34578144,147.921722,1,S1,0
43,Perempuan,Freelance,8604600.393,1,46.35361568,171.7282936,0,S2,0
19,Perempuan,PNS,11730884.99,0,61.28909899,170.8510187,0,SMA,1
41,Perempuan,PNS,3606923.927,1,58.72680185,168.1744916,1,S1,1
41,Laki-laki,Pegawai swasta,8146061.782,1,53.2065846,160.4869624,1,SMA,1
50,Perempuan,Pegawai swasta,4378478.184,1,47.72002679,152.8047709,1,SMA,0
52,Laki-laki,Pegawai swasta,9087124.379,1,65.8566978,168.9203235,1,S1,1
31,Perempuan,PNS,8414010.501,1,58.1138248,164.6396709,1,S1,1
45,Perempuan,Pegawai swasta,7675952.915,1,64.92400926,162.3900529,0,SMA,1
38,Laki-laki,Pegawai swasta,9936237.9,1,43.55117067,159.3099758,0,S1,1
39,Laki-laki,Pegawai swasta,11117769.16,1,53.61819121,175.1104353,0,SMP,1
28,Laki-laki,PNS,10877031.39,1,51.05605947,154.0302432,1,S1,1
42,Perempuan,Pegawai swasta,21409610.15,1,54.01871071,168.9116847,0,S1,1
30,Laki-laki,Pegawai swasta,5740664.217,1,50.04603986,185.2776559,0,SMA,1
35,Laki-laki,Pegawai swasta,3886150.194,1,48.79938584,175.1234259,1,S1,1
44,Laki-laki,Pegawai swasta,11150837.61,1,59.88646037,158.2520364,0,S1,1
56,Laki-laki,PNS,10012489.06,1,63.50801275,158.0192991,0,S1,0
39,Laki-laki,PNS,15245218.84,1,50.18253341,172.3794708,1,SMP,1
35,Laki-laki,PNS,4351990.751,1,49.25758354,156.2915163,0,SMA,1
39,Perempuan,PNS,5128189.632,1,73.71349487,176.9019992,0,SMA,0
21,Laki-laki,Pegawai swasta,8894335.379,1,45.30299951,181.4197744,0,SMP,0
31,Perempuan,Pegawai swasta,7506533.504,1,50.64894157,169.5258809,0,S1,0
39,Laki-laki,Pengangguran,6888081.077,1,73.97068541,171.5259084,0,S1,1
24,Laki-laki,Pengangguran,8838830.645,1,74.44573851,176.8334093,1,SMA,1
31,Laki-laki,Pegawai swasta,7280404.569,1,48.98534751,161.4326314,1,S1,1
46,Laki-laki,PNS,9853853.925,1,52.17277749,159.9696342,0,SMA,0
29,Perempuan,Pegawai swasta,5087866.241,1,60.70528409,179.6107892,0,S1,1
42,Laki-laki,Pegawai swasta,3302433.327,1,68.32079686,175.919013,0,S1,1
24,Perempuan,Freelance,9810625.605,1,56.22790765,169.6065117,0,SMA,0
32,Perempuan,PNS,10905430.09,1,70.29408795,186.0208152,1,SMP,1
41,Laki-laki,PNS,4764597.68,1,52.70743,162.6053177,0,S1,1
37,Laki-laki,Freelance,6304845.517,1,49.68985682,146.8288882,1,S1,1
43,Perempuan,Pegawai swasta,6449058.131,1,65.99545578,172.2918257,1,S1,0
45,Laki-laki,PNS,10426087.43,1,56.7938046,177.5989965,0,S1,0
