umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,stress,botak_prob
54,Laki-laki,Pegawai swasta,Mamuju,11474564.08,1,0,69.38197082,175.1329226,Pantone,1,S1,6,0.759691056
35,,Pegawai swasta,Kupang,12093635.36,1,0,54.24799178,153.9903081,Merpati,0,SMA,4,0.279739189
38,Laki-laki,Pengangguran,Banda Aceh,10878145.37,1,0,53.10379391,187.8178381,Deadbuoy,0,S1,9,0.931565472
38,Perempuan,Pegawai swasta,Kupang,6786868.15,1,1,65.39398033,169.1926502,Shoulder & Head,1,SMP,4,0.611849844
49,Laki-laki,PNS,Makassar,10209359.47,1,0,,175.4605184,Merpati,0,S1,5,0.656752572
49,Laki-laki,Pegawai swasta,Pangkalpinang,7061549.069,1,0,62.67634595,176.5756783,Deadbuoy,1,S3,4,0.606167266
39,Laki-laki,PNS,Yogyakarta,9326526.881,1,1,59.77094012,179.2013842,Pantone,1,S1,10,0.912214195
52,Laki-laki,PNS,Mamuju,10361307.61,1,1,59.36791338,171.5881823,Merpati,0,SMA,6,0.824795168
27,Laki-laki,PNS,Makassar,9426808.073,1,0,58.72654833,164.2848197,Moonsilk,1,SMP,1,0.507984813
29,Laki-laki,Pengangguran,Pontianak,4157454.124,1,1,49.14080621,162.8656815,Moonsilk,0,S2,9,0.960972639
45,Laki-laki,Pegawai swasta,Mataram,6326320.572,1,1,57.82908867,174.3036918,Shoulder & Head,1,SMA,1,0.824412474
25,Perempuan,PNS,Manokwari,6384657.01,1,1,53.58237252,166.7698502,Merpati,1,SMA,7,0.806605673
24,Laki-laki,Pegawai swasta,Serang,18100469.51,1,0,47.00327669,163.1820247,Deadbuoy,0,SMA,5,0.42237651
35,Laki-laki,Pegawai swasta,Bandung,8827766.636,1,0,44.39559296,160.364834,Pantone,0,,10,0.615022515
50,Laki-laki,PNS,Tanjung Pinang,17167729.69,1,0,48.00951938,168.9577473,Pantone,0,S1,8,0.617619986
28,Laki-laki,PNS,Palangkaraya,8353226.514,1,0,79.9145153,191.6440867,Deadbuoy,0,S1,3,0.450025414
49,Perempuan,,Gorontalo,5307319.545,1,0,47.65400188,170.2330063,Shoulder & Head,1,SMP,10,0.571646752
42,Laki-laki,Pegawai swasta,Semarang,13475833.89,1,1,52.18070059,161.2655352,Shoulder & Head,0,S1,4,0.704594518
34,Perempuan,Pegawai swasta,Surabaya,9880872.229,1,0,46.11419059,164.9337729,Pantone,0,S1,6,0.33809197
42,Laki-laki,PNS,Serang,4523667.44,1,1,59.39016775,187.0827638,Merpati,0,SD,3,0.731419247
34,Laki-laki,,Makassar,5691835.614,1,0,72.96872409,164.1900725,Moonsilk,0,S1,2,0.383156284
40,Perempuan,Pegawai swasta,Jakarta,6822556.511,1,0,67.93556957,175.7560996,Moonsilk,1,SD,10,0.522301358
54,Laki-laki,Pegawai swasta,Palu,9970288.904,1,0,47.56918387,160.8625655,Shoulder & Head,1,S2,3,0.650790675
38,Laki-laki,Freelance,Tanjung Pinang,7662164.443,1,0,46.33787191,157.9327227,Deadbuoy,1,SMA,4,0.363102379
40,Perempuan,Pegawai swasta,Banda Lampung,6290801.288,1,1,46.01315087,151.5196905,Merpati,0,SMP,1,0.406473058
45,Perempuan,PNS,Mamuju,13229733.18,1,0,50.70097372,150.4077665,Pantone,0,S1,3,0.508041891
25,Laki-laki,PNS,Mataram,9459186.068,1,0,,172.3703925,Pantone,0,S2,9,0.561730256
44,Laki-laki,PNS,Jakarta,13562600.52,1,1,46.33736247,148.7426684,Moonsilk,0,S1,6,0.827344851
44,Laki-laki,PNS,Kendari,6591225.836,1,0,53.36692719,175.1581109,Shoulder & Head,1,SMP,,0.759404335
43,Perempuan,PNS,Banjarmasin,5764889.365,1,0,47.71420147,163.2521004,Shoulder & Head,0,S1,7,0.597448448
40,Perempuan,Freelance,Tanjung Pinang,12899702.64,1,0,64.84060601,182.3466215,Pantone,1,SMP,7,0.335970639
56,Laki-laki,Pegawai swasta,Pekanbaru,6811622.921,1,0,48.786268,,Merpati,1,S2,6,0.71339273
43,Laki-laki,PNS,Kupang,4159354.146,1,,55.96198884,173.4595654,Deadbuoy,1,S2,7,0.78115495
36,Laki-laki,Pegawai swasta,Jayapura,20529524.5,1,1,57.41173947,161.4819822,Pantone,1,S1,3,0.770832413
55,Laki-laki,Pegawai swasta,Palembang,5952405.173,1,0,42.32687343,154.4591823,Merpati,0,S1,2,0.564124498
26,Perempuan,PNS,Palu,7954334.69,1,1,60.77615435,167.7683328,Shoulder & Head,1,S1,7,0.715832504
47,Laki-laki,PNS,Yogyakarta,14821027.89,1,0,53.9631003,158.1482231,Moonsilk,1,S2,10,0.738199779
55,Laki-laki,Pegawai swasta,Denpasar,6711912.081,1,0,52.15179472,176.2199785,Deadbuoy,0,S1,1,0.624865964
19,Laki-laki,PNS,Banda Lampung,5756210.824,0,0,46.93013405,151.1946073,Pantone,1,S1,1,0.443912904
30,Perempuan,Freelance,Pekanbaru,9907657.487,1,0,73.17690182,190.7773911,Deadbuoy,1,S1,1,0.311517266
54,Laki-laki,Pegawai swasta,Jambi,8163643.854,1,0,63.45567424,190.3795216,Shoulder & Head,0,S1,4,0.455802143
39,Laki-laki,PNS,Pontianak,7083551.366,1,0,53.53691707,161.4959414,Moonsilk,1,SMP,8,0.646105715
43,Perempuan,PNS,Manado,16629901.15,1,1,47.10334246,176.5957512,Merpati,1,SMP,2,0.700050865
47,Laki-laki,PNS,Makassar,11251318.07,1,0,59.85438135,163.0249052,Shoulder & Head,0,S1,4,0.572134274
40,Laki-laki,Pegawai swasta,Semarang,12052140.05,1,1,63.15549232,162.1151965,Deadbuoy,1,S1,10,0.767627077
33,Laki-laki,,Bengkulu,5459195.593,1,0,50.19956134,157.2625405,Merpati,1,SMA,4,0.465956229
52,Laki-laki,PNS,Bengkulu,18025426.93,1,0,54.28844094,181.5435848,Moonsilk,0,SMA,9,0.833540333
37,Laki-laki,Pegawai swasta,Bengkulu,12805715.82,1,0,48.98024609,162.2767257,Deadbuoy,1,SMA,4,0.529975102
49,Laki-laki,PNS,Manado,5623732.118,1,0,43.98074578,180.104522,Merpati,0,SMA,1,0.531878774
47,Laki-laki,Pegawai swasta,Bengkulu,5230531.649,1,0,59.46600848,173.3131526,Moonsilk,0,S1,9,0.561740969
42,Perempuan,PNS,Tanjung Pinang,7270300.494,1,0,44.65869212,180.9304601,Pantone,0,SMA,1,0.426946247
63,Laki-laki,Pegawai swasta,Semarang,9357449.673,1,0,58.91671738,146.3904142,Shoulder & Head,0,S1,8,0.705912202
51,Laki-laki,Pegawai swasta,Medan,14343593.48,1,0,58.09811929,168.8512929,Moonsilk,1,S2,5,0.766666695
56,Laki-laki,Freelance,Tanjungselor,8032880.778,1,0,58.07594717,162.9669403,Pantone,0,SMA,3,0.484316989
34,Perempuan,PNS,Ambon,5252953.787,1,1,68.96239095,185.98281,Moonsilk,1,SMP,2,0.608955236
39,Perempuan,Pegawai swasta,Palu,11161510.53,,1,69.19363684,172.5991499,Moonsilk,1,SMP,8,0.65321023
44,Perempuan,PNS,Mamuju,5328688.904,1,0,44.02360369,157.7291021,Deadbuoy,0,SMA,8,0.558688128
35,Perempuan,Freelance,Pontianak,11091975.12,1,0,47.48058554,159.461315,Merpati,1,S1,1,0.211563852
54,Laki-laki,Pegawai swasta,Banda Lampung,4144908.781,1,1,56.29823568,188.3692105,Pantone,0,S1,10,0.916924855
51,Perempuan,PNS,Palembang,,1,0,48.66468672,163.1495699,Deadbuoy,1,S1,6,0.711723461
32,Perempuan,Freelance,Jayapura,9937152.879,1,0,51.52134668,159.9664114,Moonsilk,1,SMA,4,0.300929848
39,Perempuan,PNS,Pekanbaru,4977624.921,1,0,53.67850928,170.5650321,Pantone,1,S1,1,0.436711795
35,Perempuan,Freelance,Palangkaraya,,1,1,51.17065134,155.9147151,Merpati,0,S1,5,0.418665903
37,Perempuan,Pegawai swasta,Medan,9552723.742,1,0,50.01373731,162.9396357,Pantone,0,S1,3,0.166936998
35,Laki-laki,PNS,Bengkulu,5551985.077,1,0,56.92918854,170.442858,Merpati,0,SMA,7,0.501497768
30,Perempuan,Freelance,Serang,7211729.497,1,0,53.35139708,177.6700725,Deadbuoy,1,S2,2,0.222487008
38,Laki-laki,Pegawai swasta,Bandung,10072406.44,1,0,88.24759992,175.5561663,Deadbuoy,0,S2,9,0.457618704
34,Laki-laki,PNS,Banda Lampung,15344416.71,1,0,44.96837125,149.4978683,Deadbuoy,1,S1,6,0.696559336
62,Laki-laki,Pegawai swasta,Banda Aceh,4426789.403,1,0,60.1676558,166.6414412,Shoulder & Head,0,SMA,3,0.590249351
44,Perempuan,Freelance,Jambi,23532384.14,1,0,55.22972694,153.1140821,Shoulder & Head,1,S1,3,0.389243379
18,Laki-laki,Pegawai swasta,Ambon,8932664.818,0,1,57.57831556,177.1597685,Deadbuoy,0,S1,9,0.566973666
41,Perempuan,Freelance,Manokwari,4452463.153,1,0,52.78574385,187.3541269,Pantone,0,S1,8,0.27017887
35,Laki-laki,PNS,Pontianak,8340826.649,1,0,52.92483076,165.3425952,Moonsilk,0,S1,8,0.511145092
36,Perempuan,Pegawai swasta,Banda Lampung,6183770.527,1,0,55.81465191,184.6290169,Moonsilk,0,S1,8,0.378268075
30,Laki-laki,PNS,Samarinda,6689356.383,1,1,53.21102971,166.7801261,Pantone,1,S1,7,
29,Perempuan,PNS,Tanjung Pinang,14739867.15,1,0,50.53475459,159.7875214,Pantone,0,SMA,8,0.500970501
50,Laki-laki,PNS,Ambon,5278767.602,1,0,57.1043255,184.4246027,Merpati,0,SD,3,0.560532212
23,Laki-laki,Pegawai swasta,Banda Lampung,10422218.61,1,1,57.17515935,174.7920297,Deadbuoy,0,S1,4,0.516563829
49,Laki-laki,Pegawai swasta,Surabaya,6170297.674,1,1,55.90394695,153.6527499,Pantone,0,S1,5,0.655495087
33,Perempuan,PNS,Palu,8736950.831,1,0,56.99432793,163.1299705,Moonsilk,1,SMA,1,0.472558805
50,Laki-laki,PNS,Mataram,10301718.19,1,0,63.60080389,154.9205305,Pantone,0,S1,5,0.63685029
44,Laki-laki,,Mataram,12355387.53,1,0,59.08506284,162.145496,Moonsilk,0,S1,2,0.373003736
43,Laki-laki,PNS,Serang,12495788.61,1,0,72.76233675,178.3024007,Pantone,1,SMA,10,0.890334582
35,Perempuan,PNS,Manado,5307282.987,1,1,56.99229109,177.5615084,Merpati,1,S1,5,0.717219747
22,Perempuan,Pegawai swasta,Manado,7673774.603,1,0,46.24307528,170.4377689,Merpati,0,S1,7,0.383556513
37,Laki-laki,PNS,Denpasar,10681392.21,1,0,47.66362908,159.3793863,Moonsilk,0,SMA,3,0.512454823
58,Laki-laki,Pegawai swasta,Pangkalpinang,14729246.35,1,0,43.35222495,175.608279,Moonsilk,1,S1,7,0.85205816
51,Laki-laki,PNS,Manokwari,6497805.298,1,0,55.73565008,182.090916,Pantone,0,SMA,2,0.652874698
44,Laki-laki,Freelance,Sofifi,11199666.88,1,0,47.61938333,175.8489094,,0,S1,6,0.414149332
50,Perempuan,PNS,Medan,7955562.003,1,0,51.38660315,155.7183809,Merpati,1,SMP,8,0.613584694
18,Laki-laki,Pegawai swasta,Serang,17677784.97,0,0,45.79120267,163.2016347,Shoulder & Head,0,SMA,9,0.417351797
26,Laki-laki,Pegawai swasta,Kendari,4019832.868,1,0,59.42345741,174.0653643,Moonsilk,1,S1,4,0.414868026
36,Perempuan,Pegawai swasta,Pangkalpinang,6081970.553,1,0,51.72299445,177.0805696,Deadbuoy,0,S1,2,0.218692974
33,Laki-laki,PNS,Serang,6995538.485,1,1,44.72973931,154.3161041,Pantone,0,S1,6,0.769024678
37,Laki-laki,Pegawai swasta,Kupang,3634632.663,1,0,59.81120376,153.1518818,Pantone,1,SMP,2,0.45898359
33,Laki-laki,Freelance,Medan,5033800.467,1,0,69.08443337,176.2469476,Moonsilk,0,SMP,4,0.255628395
40,Laki-laki,Pegawai swasta,Semarang,12094094.64,,1,50.34850832,167.5632793,Moonsilk,1,S1,6,0.77993508
17,Laki-laki,PNS,Pangkalpinang,8443740.122,0,0,45.47351392,155.9006301,Shoulder & Head,,S2,10,0.561974142
37,Laki-laki,Pengangguran,Banda Aceh,7094839.898,1,0,63.30714813,167.2286561,Pantone,1,S2,6,0.823071484
52,Perempuan,PNS,Jakarta,6818362.051,1,0,,161.6270195,Pantone,1,SMA,3,0.666225953
36,Perempuan,PNS,Mataram,8952999.651,1,1,48.40284237,170.013961,Pantone,0,S1,4,0.618743832
21,Laki-laki,Pengangguran,Jambi,7225247.032,1,0,53.54291995,171.4745128,,0,S1,5,0.798927866
32,Perempuan,PNS,Gorontalo,5860159.692,1,0,42.41951799,170.8089602,Merpati,0,S3,4,0.433242327
49,Perempuan,,,8705630.284,1,0,57.53346278,165.6788446,Pantone,1,SMA,1,0.386170928
37,Laki-laki,Freelance,Palangkaraya,5564324.499,1,0,52.01587691,163.7157397,Deadbuoy,0,SMA,6,0.332632412
23,,Pegawai swasta,Samarinda,11859647.06,1,1,51.94858449,164.3369627,Pantone,0,S1,8,0.764882416
41,Perempuan,Pegawai swasta,Samarinda,5372436.283,1,0,59.83635375,177.0092274,Deadbuoy,1,SMA,5,0.515245667
49,Laki-laki,PNS,Mamuju,7185928.059,1,0,52.03892102,149.1239296,Moonsilk,0,S1,8,0.621752042
36,Laki-laki,Pegawai swasta,Bandung,6802122.788,1,0,46.7725931,142.3268562,Shoulder & Head,0,S1,7,0.404547069
40,Laki-laki,Pegawai swasta,Pangkalpinang,8867420.583,1,1,45.11287381,178.9835222,Deadbuoy,0,SMA,8,0.734418692
40,Laki-laki,Pegawai swasta,Ambon,14903700.53,1,0,52.07969603,167.2431041,Merpati,1,SMA,6,0.512835573
37,Laki-laki,Freelance,Jayapura,3539458.009,1,0,41.61252272,159.4562478,Pantone,,S2,4,0.246098277
53,Laki-laki,Pegawai swasta,Banda Aceh,14960349.54,1,0,56.71364445,168.7179478,Pantone,0,S1,1,0.63163386
56,Perempuan,Pegawai swasta,Sofifi,8160158.876,1,0,46.88337869,165.6258155,Shoulder & Head,1,SMA,4,0.565356483
40,Laki-laki,PNS,Palu,8116296.528,1,0,58.41455676,159.7845845,Pantone,1,SMA,6,0.560943712
33,Laki-laki,Pegawai swasta,Denpasar,9144706.591,1,1,50.52491859,166.245238,Pantone,1,S1,4,0.711945158
39,Laki-laki,PNS,Jayapura,4426912.344,1,1,70.05648653,155.8912106,Deadbuoy,1,SD,6,0.832269866
31,Perempuan,Pegawai swasta,Semarang,3058592.632,1,0,44.44772446,168.0651666,Merpati,0,S1,6,0.372038427
55,Laki-laki,PNS,Jakarta,6151818.718,1,0,,161.4011899,Merpati,0,S2,2,0.690069899
42,Laki-laki,Pegawai swasta,Ambon,7352546.672,1,0,48.6933253,146.6512155,Deadbuoy,0,S1,3,0.50047336
46,Laki-laki,Pegawai swasta,Serang,3497381.368,1,0,51.21548304,181.3856374,Moonsilk,1,,5,0.647871673
38,Laki-laki,PNS,Mamuju,7487492.584,1,0,52.99108876,165.1279065,Moonsilk,0,SMA,1,0.418779788
32,Laki-laki,PNS,Kendari,9499471.401,1,0,49.52404369,156.9287425,Deadbuoy,0,S1,2,0.426040675
51,Laki-laki,Pegawai swasta,Jambi,8517313.354,1,1,62.12834958,153.2082725,Pantone,1,SMA,1,0.879852289
50,Laki-laki,,Pangkalpinang,6070670.328,1,0,58.27062274,160.4411849,Pantone,1,S1,6,0.637217237
40,Laki-laki,PNS,Jayapura,5352380.536,1,0,58.78393172,167.6288481,Moonsilk,1,SMP,10,0.686089866
25,Perempuan,Pegawai swasta,Serang,6431255.465,1,0,84.55628607,175.8815051,Deadbuoy,0,SMA,8,0.375515452
17,Laki-laki,PNS,Kupang,9300775.303,0,0,44.84201176,157.3663937,Shoulder & Head,1,S1,4,0.426203782
23,Laki-laki,PNS,Denpasar,8771300.977,1,0,62.5730339,182.3028654,Pantone,0,S1,4,0.500095566
44,Perempuan,Pegawai swasta,Palu,12937849.16,1,1,58.54503694,158.3433643,Merpati,1,SMA,3,0.702602358
36,Laki-laki,PNS,Pontianak,9205296.521,1,0,52.03171688,159.57777,Pantone,1,S1,8,0.636625032
33,Laki-laki,Pegawai swasta,Pekanbaru,9796290.9,1,0,88.61751757,192.3477427,Shoulder & Head,0,S2,7,0.518672257
25,Laki-laki,Pegawai swasta,Bandung,8330980.63,1,0,56.07875724,159.3192011,Shoulder & Head,0,S1,2,0.325603412
30,Perempuan,Pegawai swasta,Yogyakarta,7630873.97,1,0,67.87734017,169.9469115,Shoulder & Head,0,S1,8,0.404156192
54,Perempuan,Freelance,Ambon,5462124.302,1,0,93.50138922,201.179875,Moonsilk,1,S1,4,0.480869238
32,Laki-laki,PNS,Tanjungselor,16744332.83,1,0,47.64328047,182.0584636,Pantone,1,S1,1,0.475214341
54,Laki-laki,PNS,Mataram,7741196.055,1,0,48.12265384,172.0048607,Deadbuoy,1,SMA,3,0.252189107
49,Laki-laki,Pegawai swasta,Banda Lampung,11943290.49,1,0,50.23895449,156.6986058,Shoulder & Head,1,SMP,5,0.309025008
41,Perempuan,PNS,Palangkaraya,5294692.633,1,0,63.96486528,167.2654051,Deadbuoy,0,S1,9,0.592347547
53,Laki-laki,Pegawai swasta,Makassar,13708099.9,1,0,56.63099791,170.3409485,Merpati,0,S1,3,0.562570372
39,Laki-laki,PNS,Tanjung Pinang,6381812.729,1,0,51.43078985,165.35199,Deadbuoy,0,S1,1,0.433467835
30,Laki-laki,Pegawai swasta,Jayapura,8900588.94,1,0,50.90530877,182.3647315,Pantone,1,S1,4,0.508475538
43,,Pegawai swasta,Jayapura,5935849.441,1,0,64.86022137,179.5509063,Moonsilk,1,SMA,6,0.636344831
40,Laki-laki,Freelance,Banda Lampung,6119382.582,1,0,78.02565726,175.6339084,Deadbuoy,1,S1,6,0.455302826
11,Perempuan,PNS,Palu,6188549.084,0,0,54.22059833,168.8010258,Moonsilk,0,SMA,10,0.374047061
35,Perempuan,Pegawai swasta,Manokwari,7251102.761,1,0,75.56713568,194.4477732,Pantone,1,SMA,4,0.45806095
37,Perempuan,Pegawai swasta,Mamuju,3137546.926,1,0,46.09751903,157.0517181,Pantone,0,S1,4,0.222808821
38,Laki-laki,PNS,Semarang,7614162.111,1,1,47.56720098,161.6056623,Shoulder & Head,0,S1,5,0.69957925
42,Perempuan,Pegawai swasta,Kendari,8253269.434,1,0,48.70207132,175.5822996,Merpati,1,S1,4,0.532753048
37,Laki-laki,Pegawai swasta,Gorontalo,7430916.01,1,0,50.80992789,153.5792585,Shoulder & Head,0,S1,7,0.446500184
52,Laki-laki,Pegawai swasta,Jambi,6260747.972,1,0,69.93837992,172.6379522,Deadbuoy,1,SMP,5,0.720085468
31,Laki-laki,Pengangguran,Tanjungselor,16559451.18,1,0,68.64474264,160.5897653,Moonsilk,1,SMP,9,0.982993091
47,Laki-laki,Pegawai swasta,Jakarta,5509538.166,1,0,48.99592971,156.809744,Shoulder & Head,0,S2,7,0.528517007
46,Laki-laki,Pegawai swasta,Jakarta,3766660.842,1,0,52.36700177,165.5345789,Pantone,0,S1,2,0.535795094
35,Perempuan,PNS,Makassar,13178574.28,1,1,48.63284319,186.4952364,Deadbuoy,0,SMA,9,0.749888186
55,Perempuan,Pegawai swasta,Samarinda,6626580.652,1,0,57.50308904,178.6295408,Deadbuoy,1,S1,10,0.624862387
56,Laki-laki,Freelance,Kendari,4845642.557,1,0,67.02207827,169.4884244,Shoulder & Head,1,SMA,2,0.522960208
34,Laki-laki,Pegawai swasta,Bandung,6155233.808,1,0,45.71625545,153.2317515,Moonsilk,0,S1,3,0.358074436
45,Laki-laki,Freelance,Palembang,10171340.57,1,0,55.36255803,182.7135899,Deadbuoy,0,SMP,10,0.4481627
35,Perempuan,PNS,Padang,8524418.05,1,,61.55143807,167.2868261,Moonsilk,0,S2,9,0.490816374
48,Laki-laki,PNS,Palu,8326773.754,1,0,48.16093725,166.3544705,Moonsilk,1,SMA,3,0.700702693
55,Perempuan,PNS,Gorontalo,6426787.544,1,0,,162.1601189,Pantone,0,SMA,5,0.645413251
28,Laki-laki,,Tanjungselor,4857236.426,1,0,54.47927684,164.7385542,Merpati,0,SMA,3,0.739823119
48,Perempuan,Pegawai swasta,Jakarta,5888164.363,1,1,49.50687013,159.1672038,Deadbuoy,1,S3,2,0.602645878
27,Laki-laki,PNS,Tanjungselor,9137886.368,1,1,69.74412472,177.0139559,Moonsilk,0,S1,8,0.687719982
61,Laki-laki,Freelance,Banda Aceh,10145591.45,1,0,50.15939783,152.6794188,Shoulder & Head,0,SD,7,0.688645127
50,Perempuan,,Bengkulu,15403426.82,1,1,67.76696434,167.9413813,Merpati,0,SMA,9,0.715534849
57,Laki-laki,PNS,Padang,16118208.37,1,0,55.68225162,173.9063037,Merpati,0,,7,0.789738867
31,Laki-laki,Pegawai swasta,Banda Aceh,6189960.802,1,1,57.56997453,170.0688934,Shoulder & Head,0,S1,2,0.422403674
39,Laki-laki,Pegawai swasta,Medan,9853433.764,1,0,69.59384198,174.1759075,Pantone,0,SMA,8,0.585595507
47,Laki-laki,PNS,Tanjungselor,13147727.81,1,0,55.09244231,173.6927354,Pantone,0,S2,3,0.519220477
52,Laki-laki,PNS,Banjarmasin,,1,1,59.22622802,166.9329552,Merpati,0,S1,3,0.98854368
28,Laki-laki,Freelance,Medan,5423055.411,1,0,57.42286498,159.9581901,Moonsilk,0,S1,3,0.289370581
45,Laki-laki,PNS,Surabaya,6133341.906,1,0,50.61332093,171.9972801,Deadbuoy,1,S1,4,0.698933563
60,Laki-laki,,Palu,,1,0,59.39227176,169.953468,Pantone,1,S2,3,0.533780515
38,,Freelance,Bandung,6478118.394,1,0,48.65591618,180.5649284,Deadbuoy,1,S1,8,0.386742124
34,Laki-laki,PNS,Yogyakarta,12454429.46,1,0,66.94599725,179.334197,Deadbuoy,1,S1,3,0.50789776
29,Laki-laki,Pegawai swasta,Bandung,11677104.65,1,0,61.8305822,178.4578924,Shoulder & Head,0,S1,5,0.437876928
41,Laki-laki,PNS,Palembang,11860225.43,1,0,67.51883914,174.6388896,Deadbuoy,0,S1,9,0.715317308
38,Laki-laki,Freelance,Bengkulu,6977251.992,1,1,54.68940646,155.6874287,Pantone,1,S1,4,0.487178537
47,Perempuan,Freelance,Pekanbaru,7584566.181,1,1,65.46069652,166.387337,Shoulder & Head,1,S1,4,0.611138569
42,Perempuan,Freelance,Yogyakarta,4870183,1,0,53.84427351,190.0067546,Pantone,0,S2,8,0.355132075
45,Laki-laki,PNS,Jayapura,8418290.677,1,0,48.14236021,183.0812521,Moonsilk,1,S1,8,0.734932341
26,Laki-laki,Pegawai swasta,Padang,4253788.647,1,1,59.97104719,153.4276288,Merpati,1,SMA,6,0.818562998
40,Laki-laki,Pegawai swasta,Surabaya,12212589.76,1,1,59.99859868,169.1628178,Deadbuoy,0,S1,6,0.679227591
19,Laki-laki,Freelance,Bengkulu,7145355.259,0,0,48.57292181,166.8380561,Shoulder & Head,0,SD,10,0.294304721
41,Perempuan,PNS,Mataram,16261383.93,1,0,47.56316089,175.3591864,Moonsilk,0,SMA,9,0.583083556
50,Perempuan,PNS,Banjarmasin,8870616.713,1,0,49.16839178,163.2468409,Moonsilk,0,S1,3,0.545084356
44,Laki-laki,PNS,Semarang,4789839.005,1,0,55.96011354,172.9021998,Merpati,0,S1,7,0.65265671
35,Laki-laki,Pegawai swasta,Pontianak,7933884.957,1,0,51.37753924,160.3436131,Deadbuoy,1,S1,7,0.624757842
28,Laki-laki,Freelance,Banjarmasin,23709625.99,1,0,71.82570483,173.0931317,Pantone,0,SMA,10,0.465686226
53,Perempuan,Freelance,Mataram,7776172.101,1,1,92.89721109,192.7242612,Deadbuoy,1,S1,9,0.793715041
39,Laki-laki,PNS,Banjarmasin,3863152.323,1,0,61.57441805,170.3805016,Deadbuoy,1,S2,3,0.611938463
32,Laki-laki,Pegawai swasta,Yogyakarta,6024409.248,1,0,44.43243839,154.5788592,Deadbuoy,0,SMA,9,0.471229236
51,Perempuan,Pegawai swasta,Tanjungselor,14238747.68,1,0,69.01437622,167.2390821,Shoulder & Head,1,S1,6,0.676895584
48,Laki-laki,Pegawai swasta,Gorontalo,10449717.88,1,0,64.00330037,182.2974914,Moonsilk,0,S1,3,0.489777532
42,Perempuan,PNS,Kendari,7197661.461,1,0,56.5217417,163.1106838,Deadbuoy,1,S1,6,0.630428789
,Perempuan,Pegawai swasta,Yogyakarta,5921816.265,1,0,50.20837421,165.3388936,Moonsilk,0,,1,0.17163367
35,Perempuan,PNS,,13554525.92,1,0,46.36303367,,Deadbuoy,0,S1,6,0.430160165
58,Laki-laki,PNS,Kupang,6765870.088,1,0,49.08096626,150.0699748,Shoulder & Head,0,SMA,3,0.691485765
37,Laki-laki,Pegawai swasta,Semarang,9027857.576,1,0,44.00159123,161.9658732,Shoulder & Head,0,S2,4,0.513683536
39,Laki-laki,PNS,Serang,8051073.75,1,0,53.47892457,156.720604,Moonsilk,1,S1,2,0.486036431
36,Laki-laki,PNS,Jakarta,8786988.096,1,0,52.1091737,156.7435409,Moonsilk,1,S1,10,0.66779915
37,Laki-laki,PNS,Ambon,13189329.43,1,0,49.73165628,166.674651,Moonsilk,1,SMA,2,0.571318129
28,Laki-laki,Pegawai swasta,Jakarta,7584378.252,1,0,67.42199243,154.0016551,Deadbuoy,0,SMP,7,0.409103144
